name,country,dept_name
"Brigham Young University, Provo, UT  84058, United States", United States,
"Neuroscience Center, Brigham Young University, Provo, UT  84602, United States", United States,
"Department of Physics and Astronomy, Brigham Young University, United States", United States,Department of Physics and Astronomy
"Department of Mechanical Engineering, Brigham Young University, 350 EB, Provo, UT  84602, United States", United States,Department of Mechanical Engineering
"BYU MAGICC Lab., United States",None,
"Brigham Young University, Electrical and Computer Engineering, United States", United States,
"School of Electrical Computer and Energy Engineering (ECEE), Arizona State University (ASU), Tempe, AZ, United States", United States,School of Electrical Computer and Energy Engineering (ECEE)
"Department of Electrical and Computer Engineering, Brigham Young University (BYU), Provo, UT, United States", United States,Department of Electrical and Computer Engineering
"Los Alamos National Laboratory (LANL), Los Alamos, NM, United States", United States,
"Department for Power, Electronic and Communication Engineering, Faculty of Technical Sciences, University of Novi Sad, Novi Sad, 21000, Serbia", Serbia,Department for Power
"Department of Electrical and Computer Engineering, University of Texas at Dallas, Richardson, TX  75083, United States", United States,Department of Electrical and Computer Engineering
"Mechanical Engineering, Brigham Young University, Provo, UT, United States", United States,
"Munitions Directorate, Air Force Research Laboratory, Valparaiso, FL, United States", United States,
"Chemistry and Biochemistry, College of Physical and Mathematical Sciences, Brigham Young University, Provo, UT, United States", United States,
"Senior Data Scientist, Lumen Learning, Portland, United States", United States,
"Instructional Psychology & Technology, McKay School of Education, Brigham Young University, Provo, UT, United States", United States, McKay School of Education
"Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD  21218, United States", United States,Department of Material Science and Engineering
"Mechanical Engineering Department, Brigham Young University, Provo, UT  84602, United States", United States,Mechanical Engineering Department
"School of Materials Science and Engineering, UNSW Sydney, Sydney, NSW  2052, United States", United States,School of Materials Science and Engineering
"Exercise Sciences, Brigham Young University, Provo, UT, United States", United States,
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84604, United States", United States,Department of Electrical and Computer Engineering
"Department of Sociology, Brigham Young University, Provo, UT  84602, United States", United States,Department of Sociology
"Brigham Young University, Electrical and Computer Engineering Department, 450 Engineering Building, Provo, UT  84602, United States", United States, Electrical and Computer Engineering Department
"Brigham Young University, Computer Science Department, Provo, United States", United States, Computer Science Department
"School of Mathematics, Georgia Institute of Technology, 686 Cherry Street, Atlanta, GA  30332, United States", United States,School of Mathematics
"Department of Mathematics, Brigham Young University, TMCB 274, Provo, UT  84602, United States", United States,Department of Mathematics
"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT, United States", United States,Department of Civil and Environmental Engineering
"Coreform LLC, Orem, UT, United States", United States,
"School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, 510006, China", China,School of Electronics and Information Technology
"Cubiscan, Inc., Farmington, UT  84025, United States", United States,
"Department of Space Earth and Environment, Division of Energy Technology, Chalmers University of Technology, Gothenburg, 41296, Sweden", Sweden,Department of Space Earth and Environment
"LKAB, Box 952, Luleå, SE-97127, Sweden", Sweden,
"Los Alamos National Lab, Los Alamos, NM  87544, United States", United States,
"Elettra-Sincrotrone Trieste S.C.pA., S.S. 14km 163 5 in Area Science Park Basovizza, Trieste, 34149, Italy", Italy,
"School of Physics, Georgia Institute of Technology, Atlanta, GA  30332, United States", United States,School of Physics
"Nuclear Engineering Department, University of California-Berkeley, Berkeley, CA, United States", United States,Nuclear Engineering Department
"Material Science and Technology Division, Los Alamos National Laboratory, Los Alamos, NM, United States", United States,
"Predictive Chemical and Nuclear Simulations, Pacific Northwest National Laboratory, Richland, WA, United States", United States,
"Material Science Division, Lawrence Berkeley National Laboratory, Berkeley, CA, United States", United States,
"Chemical Engineering Department, Brigham Young University, Provo, Utah  84602, United States", United States,Chemical Engineering Department
"Chemistry and Biochemistry Department, Brigham Young University, Provo, Utah  84602, United States", United States,Chemistry and Biochemistry Department
"Electrical and Computer Engineering Department, Brigham Young University, Provo, Utah  84602, United States", United States,Electrical and Computer Engineering Department
"Brigham Young University, United States",None,
"Mechanical Engineering Department, Brigham Young University, Provo, UT, United States", United States,Mechanical Engineering Department
"Brigham Young University, Department Electrical and Computer Engineering, Provo, United States", United States, Department Electrical and Computer Engineering
"Cisco Systems Inc, San Jose, United States", United States,
"Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States", United States,
"Electrical and Computer Engineering, University of California, Santa Cruz, CA  95064, United States", United States,
"Electronics and Communication Engineering, Sri Sivasubramaniya College of Engineering, Kalavakkam, India", India,
"Chalmers University of Technology, Gothenburg, 41296, Sweden", Sweden,
"Consultant, 72 Lomitas Road, Danville, CA  94526, United States", United States,
"Brandenburgische Technische Universität Cottbus-Senftenberg 01968, Germany and Chalmers University of Technology, Gothenburg, 41296, Sweden", Sweden,
"Supervising Transportation Engineer, California High Speed Rail Authority, Sacramento, CA  95814, United States", United States,
"Dept. of Civil and Environmental Engineering, Brigham Young Univ., Provo, UT  84602, United States", United States,Dept. of Civil and Environmental Engineering
"Structural Analyst Engineer, Structus, Inc., 160 Pine St., San Francisco, CA  94111, United States", United States,
"Dept. of Civil and Environmental Engineering, Univ. of California Los Angeles, Los Angeles, CA  90095, United States", United States,Dept. of Civil and Environmental Engineering
"Department of Materials Science and Engineering, University of Maryland, College Park, MD  20742, United States", United States,Department of Materials Science and Engineering
"SLAC National Accelerator Laboratory, Menlo Park, CA  94025, United States", United States,
"NICE America Research Inc., Mountain View, CA  94043, United States", United States,
"Hitachi-Technologies America Inc., Clarksburg, MD  20871, United States", United States,
"NICE, Beijing, 102211, China", China,
"Department of Plant and Wildlife Sciences, 4105B LSB, Brigham Young University, Provo, UT  84602, United States", United States,Department of Plant and Wildlife Sciences
"Department of Geography, Brigham Young University, Provo, UT  84602, United States", United States,Department of Geography
"Departments of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States", United States,Departments of Chemical Engineering
"Electrical and Computer Engineering, Brigham Young Univeristy, Provo, UT, United States", United States,
"ON Semiconductor, Lindon, UT, United States", United States,
"Pacific Northwest National Laboratory, Richland, WA, United States", United States,
"School of Electrical and Computer Engineering, Nanfang College of Sun Yat-sen University, Guangzhou, 510970, China", China,School of Electrical and Computer Engineering
"Mechanical Engineering Department, Purdue University, 585 Purdue Mall, West Lafayette, IN  47907, United States", United States,Mechanical Engineering Department
"Department of Mechanical Engineering, University of South Florida, 4202 E Fowler Ave, Tampa, FL  33620, United States", United States,Department of Mechanical Engineering
"LifeLink Foundation, 9661 Delaney Creek Blvd, Tampa, FL  33619, United States", United States,
"College of Engineering, South China Agricultural University, Guangzhou, China", China,
"School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, China", China,School of Mechanical and Automotive Engineering
"Department of Chemical Engineering, Brigham Young University, Provo, UT  84604, United States", United States,Department of Chemical Engineering
"Department of Mathematics, Brigham Young University, Provo, UT  84602, United States", United States,Department of Mathematics
"Department of Mechanical Engineering, Brigham Young University, 460 Engineering Building, Provo, UT  84602, United States", United States,Department of Mechanical Engineering
"Department of Chemistry and Biochemistry, Brigham Young University, C100 Benson Building, Provo, UT  84602, United States", United States,Department of Chemistry and Biochemistry
"Department of Chemical Engineering, Brigham Young University, 330 Engineering Building, Provo, UT  84602, United States", United States,Department of Chemical Engineering
"Department of Mechanical Engineering 350 EB, Brigham Young University, Provo UT 84602, United States", United States,Department of Mechanical Engineering 350 EB
"Department of Electrical and Computer Engineering, University of Colorado Colorado Springs, Colorado Springs, CO  80918, United States", United States,Department of Electrical and Computer Engineering
"Intel Communications and Devices Group, San Diego, United States", United States,
"University of Texas at Dallas, Richardson, United States", United States,
"Brigham Young University, Provo, United States", United States,
"Chalmers University of Technology, Space, Earth and Environment, Göteborg, SE-412 96, Sweden", Sweden,
"Brigham Young University, Mechanical Engineering Department, Provo, UT  84602, United States", United States, Mechanical Engineering Department
"LKAB, Box 952, Luleå, SE-971 27, Sweden", Sweden,
"Marriott School of Management, Brigham Young University, Provo, UT, United States", United States,Marriott School of Management
"Woodbury School of Business, Utah Valley University, Orem, UT, United States", United States,Woodbury School of Business
"Department of Mechanical Engineering, Brigham Young University, 350 Engineering Building, Provo, UT  84602, United States", United States,Department of Mechanical Engineering
"Department of Materials Science and Engineering, Ohio State University, 2041 College Rd., Columbus, OH  43210, United States", United States,Department of Materials Science and Engineering
"Department of Computational Materials & Data Science, Sandia National Laboratories, PO Box 5800, Albuquerque, NM  87185, United States", United States,Department of Computational Materials & Data Science
"Department of Materials Mechanics & Tribology, Sandia National Laboratories, PO Box 5800, Albuquerque, NM  87185, United States", United States,Department of Materials Mechanics & Tribology
"Curtin University, Faculty of Business, CDT 250, Miri, Sarawak  98009, Malaysia", Malaysia,
"Universiti Tunku Abdul Rahman (UTAR), Faculty of Business and Finance, Jalan Universiti, Bandar Barat, Kampar, Perak  31900, Malaysia", Malaysia,
"University of Turku, Turun yliopistoFI-20014, Finland", Finland,
"School of Physical Science and Technology, Southwest Jiaotong University, Chengdu, Sichuan, China", China,School of Physical Science and Technology
"Chemical Engineering Department, Brigham Young University, Provo, UT, United States", United States,Chemical Engineering Department
"Carver College of Medicine, University of Iowa, Iowa City, IA, United States", United States,
"Department of Medical Microbiology and Nanobiomedical Engineering, Medical University of Białystok, Mickiewicza 2c, Białystok, 15-222, Poland", Poland,Department of Medical Microbiology and Nanobiomedical Engineering
"Al. IX Wiekow Kielc 19A, Kielce, 25-317, Poland", Poland,
"Brigham Young University, Department of Mechanical Engineering, 350 EB, Provo, UT  84602, United States", United States, Department of Mechanical Engineering
"Department of Manufacturing Engineering, Brigham Young University, United States", United States,Department of Manufacturing Engineering
"Electrical and Computer Engineering, Brigham Young University, 6756 Provo, Utah United States (e-mail: sequoiap4@gmail.com)",,
"Electrical and Computer Engineering, Brigham Young University, 6756 Provo, Utah United States (e-mail: hygunth@gmail.com)",,
"Electrical and Computer Engineering, Brigham Young University, 6756 Provo, Utah United States 84602-0002 (e-mail: camacho@byu.edu)",,
"Nsf Shrec, Department of Electrical and Computer Engineering, Brigham Young University, 450 Engineering Building, Provo, UT  84602, United States", United States, Department of Electrical and Computer Engineering
"Degrees of Freedom LLC, Venice, CA  90291, United States", United States,
"Mechanical Engineering Department, Brigham Young University, Provo, United States", United States,Mechanical Engineering Department
"Biomedical Engineering Department, University of Utah, Salt Lake City, United States", United States,Biomedical Engineering Department
"Mathematics Department, Brigham Young University, Provo, United States", United States,Mathematics Department
"California Institute of Technology, Pasadena, CA  91109, United States", United States,
"Fehr Peers Transportation Consultants, Tacoma, WA, United States", United States,
"Department of Civil & Environmental Engineering, Brigham Young University, Provo, UT, United States", United States,Department of Civil & Environmental Engineering
"SilentBreak Security, Lehi, UT  84043, United States", United States,
"Los Alamos National Laboratory, Los Alamos, United States", United States,
"Brigham Young University, Department of Mechanical Engineering, Provo, UT  84602, United States", United States, Department of Mechanical Engineering
"Air Force Research Laboratory, Department of Mechanical Engineering, Wright–Patterson Air Force BaseOH  45433, United States", United States, Department of Mechanical Engineering
"Department of Mechanical Engineering, University of South Florida, Tampa, FL  33620, United States", United States,Department of Mechanical Engineering
"Department of Civil and Environmental Engineering, University of South Florida, Tampa, FL  33620, United States", United States,Department of Civil and Environmental Engineering
"NSF Center for Space, High-Performance, and Resilient Computing (SHREC), Provo, UT  84602, United States", United States,
"NSF Center for Space, High-Performance, and Resilient Computing (SHREC)",,
"Acoustics Research Group, Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States", United States, Department of Physics and Astronomy
"Geophysics Group (EES-17), MS D446, Los Alamos National Laboratory, Los Alamos, NM  87545, United States", United States,
"Department of Mechanical, Energy, Management and Transportation Engineering, University of Genova, Genova, 16145, Italy", Italy,Department of Mechanical
"Department of Chemical Engineering, Brigham Young University, Provo, Utah, United States", United States,Department of Chemical Engineering
"SINTEF, Trondheim, Norway", Norway,
"U.S. Naval Research Laboratory, Washington, D.C  20375, United States", United States,
"U.S. Air Force Research Laboratory, Wright-Patterson Air Force BaseOH  45433, United States", United States,
"Freelance data scientist, Santa Clara, CA, United States", United States,
"Resource Systems Group, Inc., Salt Lake City, UT, United States", United States,
"School of Electrical Science and Engineering, University of Electronic Science and Technology of China, Chengdu, 610051, China", China,School of Electrical Science and Engineering
"Department of Electrical and Computer Engineering, University of California, Los Angeles, CA  90095, United States", United States,Department of Electrical and Computer Engineering
"Fachbereich Physik, Philipps-Universität Marburg, Marburg, D-35032, Germany", Germany,
"Center for Study of Complex Systems, Department of Mathematics and Department of Physics, University of Michigan, Ann Arbor, MI  48109, United States", United States, Department of Mathematics and Department of Physics
"U.S. Air Force Research Laboratory, Eglin Air Force Base, Florida, 32542, United States", United States,
"Guangdong Provincial Engineering Technology Research Center for Sports Assistive Device, Guangzhou Sport University, Guangzhou, China", China,
"School of Information Science and Engineering, Lanzhou University, Lanzhou, China", China,School of Information Science and Engineering
"National Science Foundation, Center for Space, High-performance, Resilient Computing", Resilient Computing,
"Los Alamos National Laboratory, ISR-3 Space Data Systems, Los Alamos, NM  87545, United States", United States,
"Institute of Systems Engineering, China Academy of Engineering Physics, No. 28, Mianshan Road, Mianyang, 621999, China", China,
"State Key Laboratory for Manufacturing Systems Engineering, Xi'an Jiaotong University, No.64, Xianning Road, Xi'an, 710049, China", China,
"Shaanxi's Key Laboratory of Intelligent Robots, Xi'an Jiaotong University, No. 64, Xianning Road, Xi'an, 710049, China", China,
"Walker Department of Mechanical Engineering and Applied Research Laboratories, University of Texas at Austin, Austin, TX  78713, United States", United States,Walker Department of Mechanical Engineering and Applied Research Laboratories
"Knobles Scientific and Analysis, Austin, TX  78713, United States", United States,
"Department of Mechanical Engineering and Materials Science, Pratt School of Engineering, Duke University, Durham, NC, United States", United States,Department of Mechanical Engineering and Materials Science
"Department of Mechanical Engineering, The Fu Foundation School of Engineering and Applied Science, Columbia University, New York, NY, United States", United States,Department of Mechanical Engineering
"Department of Mechanical Engineering, Ira A. Fulton College, Brigham Young University, Provo, UT, United States", United States,Department of Mechanical Engineering
"Engineering Technology and Design Division, Los Alamos National Laboratory, Los Alamos, NM, United States", United States,
"Engineering Institute, Los Alamos National Laboratory, Los Alamos, NM, United States", United States,
"Department of Mechanical and Aerospace Engineering, University of California San Diego, La Jolla, CA, United States", United States,Department of Mechanical and Aerospace Engineering
"Department of Mechanical Engineering, The University of Texas at Dallas, Richardson, TX, United States", United States,Department of Mechanical Engineering
"Los Alamos National Laboratory, Los Alamos, NM, United States", United States,
"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore 639798 (e-mail: YQU002@e.ntu.edu.sg)",,School of Electrical and Electronic Engineering
"Zero-Error Systems, Singapore 608598 (e-mail: weishu@zero-errorsystems.com)",None,
"College of Electronics and Information Engineering, Tongji University, Shanghai 201804, China.", China.,
"International College of Semiconductor Technology, National Chiao Tung University, Hsinchu 30010, Taiwan (e-mail: yckuan@g2.nctu.edu.tw).",,
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT 84602 USA.",,Department of Electrical and Computer Engineering
"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore 639798.",,School of Electrical and Electronic Engineering
"National Institute of Standards and Technology, 325 Broadway, Boulder, CO, United States", United States,
"Department of Physics, University of Colorado, Boulder, CO  80309, United States", United States,Department of Physics
"Brigham Young University, 155 East 1230 North, Provo, UT, United States", United States,
"University of Houston Texas, 7000 Fannin St, Houston, TX, United States", United States,
"Geophysics Group (EES-17), Los Alamos National Laboratory, Los Alamos, NM, United States", United States,
"Department of Nuclear Engineering, North Carolina State UniversityNC, United States", United States,Department of Nuclear Engineering
"Department of Materials Processing, Tohoku University, Sendai, 980-8579, Japan", Japan,Department of Materials Processing
"Sandia National Laboratories, Albuquerque, NM, United States", United States,
"Non-Destructive Testing and Evaluation Group (E-6), Los Alamos National Laboratory, Los Alamos, NM, United States", United States,
"Detonation Science and Technology (Q-6), Los Alamos National Laboratory, Los Alamos, NM, United States", United States,
"Department of Physics, Colorado School of Mines, Golden, CO, United States", United States,Department of Physics
"North Carolina State Univ., Dept. of Civil, Construction, and Environmental Engineering, Raleigh, NC, United States", United States, Dept. of Civil
"Exponent, Civil Engineering Practice, Oakland, CA, United States", United States,
"Brigham Young Univ, United States",None,
"Univ. of Nevada, Reno, United States", United States,
"School of Civil and Construction Engineering, Oregon State Univ., Corvallis, OR, United States", United States,School of Civil and Construction Engineering
"Civil Engineering Dept., Univ. of Alaska Anchorage, Anchorage, AK, United States", United States,Civil Engineering Dept.
"COWI Marine North America, Seattle, WA, United States", United States,
"Operations and Technology Management, Boston University Questrom School of Business, Boston, MA, United States", United States, Boston University Questrom School of Business
"Peter B. Gustavson School of Business, University of Victoria, Victoria, BC, Canada", Canada,Peter B. Gustavson School of Business
"Marriott School of Business, Brigham Young University, Provo, UT, United States", United States,Marriott School of Business
"School of Global Policy and Strategy, University of California San Diego, La Jolla, CA, United States", United States,School of Global Policy and Strategy
"University of Trento, Trento, 38123, Italy", Italy,
"HCDC Llc, Park City, UT, United States", United States,
"University of Roma Tor Vergata, Rome, Italy", Italy,
"L3 Technologies, New York, NY, United States", United States,
"Jet Propulsion Lab, Pasadena, CA, United States", United States,
"University of Genoa, Genoa, Italy", Italy,
"University of Transilvania, Brasov, Romania", Romania,
"University of Cagliari, Cagliari, Italy", Italy,
"Department of Mathematics, KTH Royal Institute of Technology, Stockholm, Sweden", Sweden,Department of Mathematics
"Concepts NRECVT  05001, United States",None,
"Department of Physics and Astronomy, Brigham Young University, N283 ESC, Provo, UT  84602, United States", United States,Department of Physics and Astronomy
"Caterpillar Inc., Technical Center, 14009 Old Galena Road, Mossville, IL  61552, United States", United States,
"Department of Computer Science, University of Montana, United States", United States,Department of Computer Science
"Department of Computer Science, Brigham Young University, United States", United States,Department of Computer Science
"Department of Engineering Sciences, Division of Applied Mechanics, Uppsala University, Sweden", Sweden,Department of Engineering Sciences
"GKN Aerospace, Trollhattan, SE-46181, Sweden", Sweden,
"Materials Research Group, Faculty of Engineering and the Environment, University of Southampton, United Kingdom", United Kingdom,
"Manufacturing Engineering Technology, Brigham Young University, United States", United States,
"Department of Mathematics, Massachusetts Institute of Technology, Cambridge, MA  02139, United States", United States,Department of Mathematics
"Oden Institute for Computational Engineering and Sciences, University of Texas at Austin, Austin, TX  78712, United States", United States,
"Civil and Environmental Engineering, Brigham Young University, Provo, UT  84602, United States", United States,
"Institute for Analysis and Scientific Computing, TU Wien, Vienna, 1040, Austria", Austria,
"Department of Electrical and Computer Engineering, Brigham Young UniversityUT, United States", United States,Department of Electrical and Computer Engineering
"Instituto de Telecomunicacoes, Department of Electrical and Computer Engineering, University of Coimbra, Portugal", Portugal, Department of Electrical and Computer Engineering
"CISUC and Department of Informatics Engineering, University of Coimbra, Portugal", Portugal,CISUC and Department of Informatics Engineering
"Fritz Haber Institute of the Max Planck Society, Faradayweg 4–6, Berlin, 14195, Germany", Germany,
"Skolkovo Institute of Science and Technology, Skolkovo Innovation Center, Building 3, Moscow, 143026, Russian Federation", Russian Federation,
"Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD  21218, United States", United States,Department of Materials Science and Engineering
"Engineering Laboratory, University of Cambridge, Trumpington Street, Cambridge, CB2 1PZ, United Kingdom", United Kingdom,
"Computer Science Department, Brigham Young University, Provo, UT  84602, United States", United States,Computer Science Department
"Citrine Informatics, 702 Marshall Street, Redwood City, CA  94063, United States", United States,
"University of Twente, Enschede, Netherlands", Netherlands,
"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT  84602, United States", United States,Electrical and Computer Engineering Department
"Department of Public Health, Brigham Young University, Provo, UT, United States", United States,Department of Public Health
"Department of Microbiology & Molecular Biology, Brigham Young University, Provo, UT, United States", United States,Department of Microbiology & Molecular Biology
"University of Kansas, Lawrence, KS, United States", United States,
"Electrical Computer and Science, University of Tennessee, Knoxville, United States", United States,
"Computer Science, Brigham Young University, United States", United States,
"Division of Decision and Control Systems, KTH Royal Institute of Technology, Stockholm, 11428, Sweden", Sweden,
"University of California at Santa Barbara, Santa Barbara, CA  93106, United States", United States,
"School of Information Engineering, Henan University of Science and Technology, Luoyang, Henan, 471000, China", China,School of Information Engineering
"Changchun Institute of Optics, Fine Mechanics and Physics, Chinese Academy of Sciences, Changchun, Jilin, 130033, China", China,
"School of Astronautics, Northwestern Polytechnical University, Xi'an, Shaanxi, 710072, China", China,School of Astronautics
"Manufacturing Engineering and Technology, Brigham Young University, Provo, UT, United States", United States,
"Information Systems, Brigham Young University, Provo, UT, United States", United States,
"Brigham Young University, Computer Science Department, Provo, UT, United States", United States, Computer Science Department
"Brigham Young University, Department of Computer Science, United States", United States, Department of Computer Science
"Brigham Young University, Computer Science, United States", United States,
"Brigham Young University, Provo, UT  84601, United States", United States,
"Ira A Fulton College of Engineering and Technology, Brigham Young Univ., Provo, UT  84602, United States", United States,
"School of Sustainable Engineering and the Built Environment, Arizona State Univ., P.O. Box 873005, Tempe, AZ  85287-3005, United States", United States,School of Sustainable Engineering and the Built Environment
"Rockwell Collins, Cedar Rapids, IA  52498, United States", United States,
"Tufts University, Dept. of Electrical and Computer Eng., Medford, MA, United States", United States, Dept. of Electrical and Computer Eng.
"Faculty of Technical Sciences, Electr. and Com. Eng. Novi Sad, Serbia Academy of Engineering Sciences of Serbia, Dept. of Power, Serbia", Serbia, Dept. of Power
"Brigham Young University, Dept. of Physics and Astronomy, Provo, UT, United States", United States, Dept. of Physics and Astronomy
"Faculty of Technical Sciences, Dept. of Power Electronics and Com. Engineering, Novi Sad, Serbia", Serbia, Dept. of Power Electronics and Com. Engineering
