author_id,name
57218202833,Gautam A.
7004904337, Crandall J.W.
7005513246, Goodrich M.A.
6508306234,Oliveira P.M.
9277159100, Hedengren J.D.
6507358470, Boaventura-Cunha J.
53879700900,Hajimirzaie S.M.
26642910500, Hotchkiss R.
57204031131,Bunnell S.
6602649851, Gorrell S.E.
56830076500, Salmon J.L.
57204029674, Thelin C.
57204032253, Ruoti C.
57217149830,Richardson M.
57217149403, Cannon S.
57217145377, Teichert L.
57217146534, Vance A.
57217147399, Kramer I.
57217147006, Barter M.
57210571665, King J.
55611356500, Callahan C.
57218886193, Stanković A.M.
57210260262, Sarić A.A.
6701777223, Sarić A.T.
8448666000, Transtrum M.K.
36149254500,Hackney D.
57191155872, Goode T.
56681156600,Seng F.
35088650000, Pankow M.
7201741468,Schultz S.
7402786794, Peters K.J.
57191822951,Coburn J.Q.
57188654880, Freeman I.
57192247939, Svenda V.
57218593962,Walker Z.
57218593446, Wells T.
57218591162, Lay K.
57201772566, Sampad M.J.N.
16422844400, Schmidt H.
7102975249, Hawkins A.R.
57193338296,Wu F.
57194692502, Zhou Z.
57202017958, Temizel-Sekeryan S.
57205128747, Ghamkhar R.
55829396600, Hicks A.L.
57201634652, Larsen B.
57218685929, Hunt J.
18535712500, Hovanski Y.
56248593800,Peterson C.K.
10640480600, Casbeer D.
24923036100, Manyam S.G.
7201675107, Rasmussen S.
56330168500,Zou Z.
9942259800, Scott M.A.
57201257192,Miao D.
56260937200, Bischoff M.
57081918700, Oesterle B.
55487415500, Dornisch W.
7202083837,Rice M.
57210290270, Clark B.
57210288045, Flanary D.
57210287166, Jensen B.
57211254337, Nelson N.
57210292389,Norman K.
57218761022, Perrins E.
35147940600,Harrison W.K.
57201912667,Hendricks L.J.
7202282831, Baxter J.S.
57218107757, Chou Y.
57198832579, Thomas M.
57218097969, Boekweg E.
7003302831,Guthrie W.S.
16066928300, Mazzeo B.A.
57213342768, Gardner J.W.
56584019300,Mulford R.B.
57217581937, Salt S.D.
57214937519,Hyatt L.P.
57217581770, Meaker K.S.
55542008600, Dwivedi V.H.
56714263700, Jones M.R.
8608718200, Iverson B.D.
17341858700,Chowdhury S.
42062742100, Zhuang H.
55802018400, Coleman S.
36515506800, Patala S.
56735940800, Bair J.L.
57194874146,Lu W.
8935141300, Cao Q.
57194231165, Xu B.
6601976036, Adidharma H.
35547089300, Gasem K.
7004479819, Argyle M.D.
55413647400, Zhang F.
55739722900, Zhang Y.
7201970805, Fan M.
57217041570,Webb D.
57200117690, Song Y.
57207689986,Rozsa J.
57200699937, Gustafson E.
7202316035, Austin D.E.
35209941000, Chiang S.-H.W.
57219312906,Lam S.-H.
57215534774, Brewer E.
35303536900, Ng Y.-K.
57216811262,Erickson H.C.
8705255200, Homer E.R.
57218879246,Huang J.-S.
57218883196, Huang Y.-C.
57218883472, Kao C.-W.
57218875152, Hsu C.-W.
36444802300, Chen C.-H.
7402967162,Wallace J.W.
56196521900,Mahmood A.
35597296700, Jensen M.A.
55649569259, Mehmood R.
55849071700, Koch D.P.
57190404271,Wheeler D.O.
35562442700, Beard R.W.
7006542177, McLain T.W.
36668159600, Brink K.
57200206301, Amini E.
57190131647, Babaei A.
35612908400, Mehrnia M.R.
8208300700, Shayegan J.
57192643299, Safdari M.-S.
57215136260,Weaver B.P.
56442655200, Kaufeld K.
55827824100, Warr R.L.
57197773578,Pack A.T.
57204761536, Phipps E.R.
7004300863, Mattson C.A.
8421746800, Dahlin E.
57203660684,White J.H.
57218095797,Clark R.
57218102993, Dickinson T.
57218105310, Loaiza J.
57197795830, Geiger D.W.
14033673100, Charles S.K.
57205285411,Rose M.T.
57205288709, Pielstick B.D.
57205293533, Jones Z.T.
6701746882, Sommerfeldt S.D.
10141271600, Gee K.L.
7202277096, Thomson S.L.
6701720294, Magleby S.
57211516485, Howell L.
57200077532,Willis J.
55613237293, Johnson J.
57208246750,Libano F.
57206834042, Wilson B.
7003292762, Wirthlin M.J.
19638969800, Rech P.
55301279200, Brunhaver J.
7402258065,Lawson J.
36987999600, Afran M.S.
7003868048, Saquib M.
57190402922,Ellingson G.
9535406000,Sansom R.L.
56703308500,Bodily R.
57216531463, Bates C.O.
23050937200, Leary H.
57199050938,Small K.A.
57211158470, Clayburn Z.
57195286623, DeMott R.
35790633100, Primig S.
12142543700, Fullwood D.T.
8715877100, Taheri M.L.
57209474608,McLeod A.R.
12445208100,Bruening D.A.
35868117400, Johnson A.W.
57209473859, Ward J.
35867849600, Hunter I.
8929123100, Camacho R.M.
57215607275, Fish D.
57215609504, Simmons M.
57200118993, Awerkamp P.
57215613881, Anderson R.
57215598228, Carlson S.
57211987837, Laney J.
57209538650, Viglione M.
7005636820, Nordin G.P.
57202910818,Knighton B.E.
55213245300, Nielson M.
57211642778, Hardy R.T.
57196372172, Alejandro A.
57208225620, Rawlings L.
57209824884, Johnson J.A.
6701646284,Peatross J.
57216751001, Atkinson N.
57216748895, Hodge D.
36913263000, Pratt B.
57217283178, Romero M.
57216749286, Schulzke C.
7005357023,Ware M.
57192943554,Ottosson H.
56709287700, Hamilton E.
7003772744, Crane N.
57195970826,Aryal B.R.
57203943386, Ranasinghe D.R.
57193834529, Westover T.R.
57203942414, Calvopiña D.G.
7410190129, Davis R.C.
7007046711, Harb J.N.
7006111578, Woolley A.T.
56371366400,Fujimoto M.S.
57202818911, Lyman C.
7102523474, Clement M.
7003927879,Bunimovich L.
57217245563, Passey D.J.
57198519795, Smith D.
55100119300, Webb B.
39861044100, Borden M.J.
36708895400, Thomas D.C.
57210419894, Yu M.
14059209700, Zhang D.
7406665619, Lee D.-J.
7201793184,Desai A.
56692412900,Gunnarsson A.
57211105311, Andersson K.
7202518970, Adams B.
12445742400, Fredriksson C.
57218836048,Peters W.
57194504247, Jones T.
7202040335, Efimov A.
14631026900, Pedersoli E.
55159798000, Foglia L.
54941111500, Mincigrucci R.
55258876800, Nikolov I.
7006038251, Trebino R.
20735824800, Sandberg R.L.
55846910700, Danailov M.
6602657620, Capotondi F.
14033765300, Bencivenga F.
13005462200, Bowlan P.
55770396700,Frazer D.
23099630500, Hosemann P.
57215680724,Warr C.
57205652801, Valdoz J.C.
57195427378, Bickham B.P.
57215684781, Knight C.J.
57215687139, Franks N.A.
57215697686, Chartrand N.
56251876800, Van Ry P.M.
7202687601, Christensen K.A.
56514586700, Cook A.
57197765353,Stevenson P.D.
57188681207,Hyatt P.
36349287300, Killpack M.D.
57189235340,Keller A.M.
55547123342, Anderson J.
25639041400, Wen S.-J.
55967471000, Fung R.
57218221803, Chambers C.
56387524600, Ganjalizadeh V.
57202735625, Wright J.G.
7003381644, Warnick K.F.
6701834327, Selvan K.T.
57202445593, Fistler M.
7004609408, Kerstein A.R.
8660143800, Lignell D.
6506736843, Oevermann M.
6507359986,Shamsabadi A.
57214365851, Schwicht D.E.W.
57212088299, Dasmeh A.
7003663333,Rollins K.M.
6602889035, Taciroglu E.
57216181629,Manandhar K.
36245410800, Ren Y.
57191110417, Stasak D.
56622088300, Hou H.
57195921912, Kirsch D.
57215904613, Sarker S.
7402756644, Mehta A.
57217317667, Sardar S.
57195591421, Xiao M.
57217789464, Weaver J.L.
57216183270, León C.
57207901363, Hart G.
34873697600, Sunaoshi T.
56767836200, Lemmon J.P.
7102900497, Takeuchi I.
57196422740,Howell R.G.
7403518015, Jensen R.R.
36852156000, Petersen S.L.
16245238300, Larsen R.T.
57202776341,Bahari M.
57212879455, Malmberg M.A.
57212877661, Brown D.M.
57212877401, Hadi Nazari S.
35262249500,Lewis R.S.
7102405529, Watt G.D.
57212107391, Petrie A.
57216754583, Kinnison W.
8342785400, Layton K.
57190228554,Taysom B.S.
7102879142, Sorensen C.D.
57211891331,Guo Z.
57199244740, Zhang M.
57204433875,Simons T.
57215212754, Fuller S.G.
57215211789, McCown A.S.
57214076898,Clayton M.F.
57198146081, Bilodeau R.A.
7006441571, Bowden A.E.
57191873151,Ziaee M.
57216430816, Mahmood A.
55971908500,Jin M.
54415193700, Zhu B.
56489679500, Mo J.
55522618700, Yang Z.
55864283000, Zhang X.
57209110872,Wu R.
57206455220, Beutler J.
7103248108, Baxter L.
57191108291,Morgan W.S.
57212383793, Christensen J.E.
57212379321, Hamilton P.K.
57202904399, Jorgensen J.J.
7403279876, Campbell B.J.
6507391043, Forcade R.W.
57196261400, Kunzler J.W.
57214229367, Bartschi J.M.
57214855898,Schnepf P.D.
57215031057, Davis A.
6701610428, Vanfleet R.R.
7403218372, Jensen B.
57200515115,Kurniawan C.
57194698845, Baird S.
35409277700,Johnson O.K.
57193749678,Searle M.
55457444300, Crockett J.
6701863708, Maynes D.
57201666213,Park J.L.
55694540600, Canizales K.A.
7003545107, Woodfield B.F.
13406135400, Stowers K.J.
57203017789,Smiley A.J.
6701609778, Plett G.L.
7005052477,Godfrey P.C.
8750608700, Allen G.N.
57214071214, Benson D.
57193518829,Hansen L.T.
7006583274, Wagoner R.H.
55359526600, Lim H.
56911636200, Carroll J.D.
55272011900, Zhou G.
57203486012,Bong H.J.
57202293242,Ogbeibu S.
57203024588, Emelifeonwu J.
57160053200, Senadjki A.
36006215900, Gaskin J.
55944615300, Kaivo-oja J.
57191995369,Chen K.
57195515828,Horne R.R.
57211443769, Rich J.T.
57211435896, Bradley M.W.
7005408810, Pitt W.G.
56685601500,Wnorowska U.
16549438300, Fiedoruk K.
56685789300, Piktel E.
57212757453, Prasad S.V.
57212871890, Sulik M.
57215487696, Janion M.
16548815300, Daniluk T.
7202875039, Savage P.B.
6701383359, Bucki R.
57191570988, Orme A.
57201357657,Soderquist D.R.
57210289242, Greenwood J.
57192710054,Butler J.
57219015425,Lystrup C.
55813139600, George A.
57203836305,Zobell B.
57219009389, Boster K.
57219005376, Childs C.
57219006078, Girod H.
57218481091,Ploeg S.
57217024741, Gunther H.
57218482479, Camacho R.
34873482400, Skaggs P.
6507317548, Fulda N.
54781821400,Stout J.M.
57215052018, Baumgarten T.E.
57215058041, Stagg G.G.
56957771800,Cannon M.
57204469757, Perez-Celis A.
57188691775, Best C.M.
57188173800, Rupert L.
57202579348,Ong J.
57214718289, Richards D.
57193706327, Larsen J.L.
